                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     96,                 1.2017,                  1.223,                 1.7255,                0.81712,                0.81253,                0.86106,                0.57478,                 1.1607,                 1.1366,                 1.8719,              0.0016238,              0.0016238,              0.0016238
                     97,                 1.1859,                 1.2018,                 1.6984,                0.71801,                0.60606,                0.69072,                0.47969,                 1.1804,                 1.2795,                 1.9124,              0.0016198,              0.0016198,              0.0016198
                     98,                 1.1623,                 1.2139,                  1.691,                0.84441,                0.65809,                 0.8298,                0.53773,                 1.2917,                 1.1315,                 2.1087,              0.0016159,              0.0016159,              0.0016159
                     99,                 1.1811,                 1.2127,                 1.7087,                 0.7923,                0.75758,                0.82363,                0.51579,                   1.41,                 1.1508,                 2.1244,              0.0016119,              0.0016119,              0.0016119
                    100,                 1.2251,                 1.2537,                   1.73,                0.60233,                0.75758,                0.67573,                0.41562,                 1.3675,                 1.3648,                 2.1131,               0.001608,               0.001608,               0.001608
                    101,                 1.1964,                 1.2267,                 1.7277,                0.62109,                0.79486,                0.74417,                0.52081,                 1.2144,                  1.236,                 1.9021,               0.001604,               0.001604,               0.001604
                    102,                 1.1848,                  1.212,                 1.7234,                0.74637,                0.71365,                0.79073,                 0.5512,                 1.1482,                  1.146,                 1.7976,                 0.0016,                 0.0016,                 0.0016
                    103,                 1.1906,                 1.1547,                 1.6994,                0.79129,                0.60606,                0.72047,                0.46959,                 1.2977,                 1.3848,                 2.0635,              0.0015961,              0.0015961,              0.0015961
                    104,                 1.1728,                 1.1722,                 1.7158,                0.57873,                0.60606,                0.63253,                0.40718,                  1.219,                 1.4327,                 1.9794,              0.0015921,              0.0015921,              0.0015921
                    105,                 1.1793,                 1.1842,                 1.7074,                0.53531,                0.57576,                0.50633,                 0.2668,                 1.5152,                 1.7318,                 2.3022,              0.0015882,              0.0015882,              0.0015882
                    106,                 1.1727,                 1.1868,                 1.7141,                 0.8159,                0.69697,                0.84469,                0.55017,                 1.2493,                 1.0556,                 1.9651,              0.0015842,              0.0015842,              0.0015842
                    107,                 1.1422,                 1.1646,                 1.6723,                0.71385,                0.68061,                0.76709,                0.50136,                  1.265,                 1.3756,                 2.0028,              0.0015802,              0.0015802,              0.0015802
                    108,                 1.1905,                 1.2159,                 1.6916,                0.68784,                0.66667,                0.66851,                0.44869,                 1.2452,                 1.4111,                 2.0039,              0.0015763,              0.0015763,              0.0015763
                    109,                 1.1916,                 1.2121,                 1.7113,                0.77242,                0.61737,                 0.7391,                0.46951,                 1.1976,                  1.298,                 1.9023,              0.0015723,              0.0015723,              0.0015723
                    110,                  1.155,                 1.1666,                 1.6731,                0.63786,                0.72727,                0.69152,                 0.4241,                 1.3035,                  1.308,                 2.0553,              0.0015684,              0.0015684,              0.0015684
                    111,                 1.1929,                 1.1731,                 1.7063,                0.64077,                0.75758,                0.71433,                0.44454,                 1.2796,                 1.3123,                 1.8796,              0.0015644,              0.0015644,              0.0015644
                    112,                 1.2149,                 1.2043,                 1.7234,                0.78425,                0.69697,                 0.7692,                0.48094,                 1.2841,                 1.1851,                 1.9571,              0.0015604,              0.0015604,              0.0015604
                    113,                 1.1939,                 1.1798,                 1.7007,                0.78496,                0.66377,                0.75529,                0.50551,                 1.2576,                 1.1236,                 2.0262,              0.0015565,              0.0015565,              0.0015565
